time,rate
17731,62
17843,63
18838,64
19883,65
20877,67
21824,67
22845,67
23836,67
24932,68
25928,69
27016,69
27898,69
28967,70
29935,71
31088,72
35228,72
36036,73
37056,73
38164,72
39204,71
40275,71
41197,71
42285,70
43285,69
44279,70
45318,71
46324,70
47384,71
48510,71
49570,72
50583,73
51672,74
52608,75
53632,77
57264,79
57659,77
58628,77
63108,73
63624,72
64628,72
69019,71
69726,70
70731,71
74967,71
75906,72
80918,72
81046,71
82065,70
86859,70
87188,70
88159,71
89197,71
92804,72
92909,73
94016,75
98730,81
99157,80
100080,80
104675,82
105074,82
106069,81
107034,81
108100,80
111542,80
112065,81
113032,82
116945,86
117059,87
118029,86
122636,82
123085,78
124077,75
128439,70
129152,71
134360,71
135030,67
135978,66
140336,58
141055,57
146233,56
147072,57
152176,57
153028,56
154124,57
158121,60
159217,60
160146,61
161221,62
165241,68
166207,68
171001,71
171262,72
172265,73
173302,73
177664,74
178427,74
183359,73
183564,72
184628,72
189308,69
189583,68
190850,68
191653,67
195302,66
195685,66
196752,66
201200,68
201720,69
202889,70
207143,72
207883,73
208938,75
213090,72
214064,70
219017,68
219078,68
220094,68
224960,69
224968,70
226061,69
227202,70
230903,71
231064,72
232034,72
233068,72
236998,68
237188,67
238095,66
239209,65
242771,63
243173,63
244216,63
248720,62
249150,62
250228,62
254640,65
255488,66
256493,67
260635,69
261525,69
266514,71
266684,72
267797,72
272649,74
273033,74
274067,74
278424,76
279102,77
284349,80
285160,79
290291,78
291224,78
292088,78
296261,68
297075,66
302164,58
303060,59
304118,59
308530,62
309095,60
314555,55
315107,52
320472,54
321071,55
322086,54
326444,52
327085,53
332439,58
333141,59
338318,63
339082,64
340110,65
344258,64
345137,63
350186,60
351154,60
352183,61
353187,61
356923,63
357244,64
358216,64
362580,65
363173,66
368494,67
369270,67
370305,67
374440,63
375207,63
380392,65
381306,65
386312,66
386312,66
387278,67
388408,67
392367,68
393345,67
398204,61
398250,58
399295,56
400349,55
404774,54
405315,54
406259,54
410569,54
411325,53
412401,52
413407,52
417615,54
418400,55
423443,58
424393,58
429391,56
429428,56
430321,55
431413,56
435334,55
435431,55
436352,55
437329,54
441287,53
441429,53
442413,53
443350,52
447261,52
447336,52
448346,52
453126,53
453283,53
454360,52
459079,53
459366,53
460355,53
461281,53
465044,53
465381,52
466493,52
470972,54
471360,55
472426,56
473365,57
474381,57
477962,56
478503,56
479418,55
483837,55
484439,56
489763,55
490452,55
491434,55
495748,58
496397,58
501655,57
502398,56
507679,56
508527,55
509452,55
513565,53
514455,54
515416,55
519491,58
520462,57
521519,57
525412,59
525460,60
526528,60
531364,62
531579,63
532628,64
533578,64
534675,65
538379,67
538567,68
539570,68
544227,72
544650,71
545629,69
550155,61
550571,57
551716,56
552562,56
556319,57
556826,57
557579,57
558611,56
559592,56
560583,55
561691,55
565514,56
565779,56
566781,57
571463,59
571879,59
572931,60
577550,63
578020,64
579027,66
583331,71
584234,72
589281,73
590242,73
591166,73
592172,73
595798,74
596192,75
597132,73
601651,74
602224,74
603164,73
604210,72
607842,72
608590,73
613549,76
613630,76
614630,76
619459,74
619700,73
620727,72
621830,71
625534,69
625843,69
626888,69
631330,70
631888,70
632830,70
637362,71
637885,70
638914,69
643422,66
643894,66
644945,66
649171,66
650017,67
650956,67
651986,68
652971,67
656690,65
657063,64
658048,64
662675,65
663218,65
668458,69
669516,69
670393,70
674431,70
674505,70
675510,69
676849,70
677504,70
681962,68
682636,69
683571,69
684634,70
685639,70
689904,68
690779,68
691826,68
695705,68
696039,69
697179,70
